Code,SA4_Label,Year,population_total,population_density,population_males,population_females,median_age_males,median_age_females,median_age_persons,working_age_population,working_age_population_pct,GCCSA,State
308,Central Queensland,2022,234166,2.0,118515,115651,38.0,38.3,38.2,148544,0.634,3RQLD Rest of QLD,QLD
308,Central Queensland,2023,238205,2.0,120408,117823,38.2,38.5,38.4,150802,0.633,3RQLD Rest of QLD,QLD
309,Gold Coast,2019,629955,339.1,307703,322252,37.8,39.4,38.6,409937,0.6509999999999999,3RQLD Rest of QLD,QLD
309,Gold Coast,2020,642046,345.6,313525,328521,38.1,39.7,38.9,416820,0.649,3RQLD Rest of QLD,QLD
309,Gold Coast,2021,649491,349.6,317206,332285,38.6,40.2,39.4,420625,0.648,3RQLD Rest of QLD,QLD
309,Gold Coast,2022,663317,357.0,323823,339494,38.6,40.3,39.5,429833,0.648,3RQLD Rest of QLD,QLD
309,Gold Coast,2023,682509,367.4,333447,349041,38.3,40.1,39.2,445186,0.652,3RQLD Rest of QLD,QLD
310,Ipswich,2019,358440,53.6,179328,179112,33.6,34.7,34.2,234179,0.653,3GBRI Greater Brisbane,QLD
310,Ipswich,2020,366107,54.8,183121,182986,33.8,35.0,34.4,238788,0.652,3GBRI Greater Brisbane,QLD
310,Ipswich,2021,373629,55.9,187228,186401,34.1,35.4,34.8,243250,0.6509999999999999,3GBRI Greater Brisbane,QLD
310,Ipswich,2022,384933,57.6,192834,192099,34.4,35.6,35.0,250760,0.6509999999999999,3GBRI Greater Brisbane,QLD
310,Ipswich,2023,397273,59.5,199174,198149,34.4,35.6,35.0,259542,0.653,3GBRI Greater Brisbane,QLD
311,Logan - Beaudesert,2019,350646,135.6,173921,176725,33.6,35.0,34.3,226510,0.6459999999999999,3GBRI Greater Brisbane,QLD
311,Logan - Beaudesert,2020,358678,138.7,177900,180778,33.8,35.3,34.5,230896,0.644,3GBRI Greater Brisbane,QLD
311,Logan - Beaudesert,2021,365586,141.4,181717,183869,34.0,35.5,34.8,234435,0.6409999999999999,3GBRI Greater Brisbane,QLD
311,Logan - Beaudesert,2022,378294,146.3,187976,190318,34.0,35.6,34.8,242438,0.6409999999999999,3GBRI Greater Brisbane,QLD
311,Logan - Beaudesert,2023,393394,152.1,195263,198182,33.8,35.4,34.6,253377,0.644,3GBRI Greater Brisbane,QLD
312,Mackay - Isaac - Whitsunday,2019,177568,2.0,91575,85993,37.3,36.8,37.0,117789,0.6629999999999999,3RQLD Rest of QLD,QLD
312,Mackay - Isaac - Whitsunday,2020,180641,2.0,93026,87615,37.6,37.2,37.4,119434,0.6609999999999999,3RQLD Rest of QLD,QLD
312,Mackay - Isaac - Whitsunday,2021,183209,2.0,94364,88845,38.1,37.7,37.9,120905,0.66,3RQLD Rest of QLD,QLD
312,Mackay - Isaac - Whitsunday,2022,186203,2.1,95852,90351,38.4,38.1,38.3,122376,0.657,3RQLD Rest of QLD,QLD
