code,name,network_id,network_region,units,location.lat,location.lng
TGNSS,Traralgon Network Support,NEM,VIC,{'TGNSS1': 'Gas'},-37.833513,144.965955
TREVALLN,Trevallyn,NEM,TAS,{'TREVALLN': 'Hydro'},-41.422302,147.112025
TRIBUTE,Tribute,NEM,TAS,"{'TRIBUTE': 'Hydro', 'TRIBNL1': 'Hydro'}",-41.811468,145.653252
TULLYSM,Tully Sugar Mill,NEM,QLD,{'TULLYSM1': 'Bioenergy'},-17.937329,145.92739
SNOWY2,Tumut,NEM,NSW,"{'UPPTUMUT': 'Hydro', 'SNOWY2': 'Hydro'}",-35.953492,148.369693
TUMUT3,Tumut 3,NEM,NSW,"{'SNOWYP': 'Hydro', 'TUMUT3': 'Hydro', 'TUMUT3-4': 'Hydro', 'TUMUT3-6': 'Hydro', 'TUMUT3-5': 'Hydro', 'TUMUT3-3': 'Hydro', 'TUMUT3-1': 'Hydro', 'TUMUT3-2': 'Hydro'}",-35.610817,148.292644
TUNGATIN,Tungatinah,NEM,TAS,{'TUNGATIN': 'Hydro'},-42.296396,146.455881
ULBESS,Ulinda Park,NEM,QLD,"{'ULPBESSL1': 'Battery', 'ULPBESS1': 'Battery', 'ULPBESSG1': 'Battery'}",-26.92635,150.717472
URANQ,Uranquinty,NEM,NSW,"{'URANQ12': 'Gas', 'URANQ14': 'Gas', 'URANQ11': 'Gas', 'URANQ13': 'Gas'}",-35.180226,147.21566
0UUNGULAWF,Uungula,NEM,NSW,{'0UUNGULAWF': 'Wind'},-32.551969,149.161325
VP,Vales Point B,NEM,NSW,"{'VP6': 'Coal', 'VP5': 'Coal'}",-33.164639,151.544116
VPGS,Valley Power Peaking,NEM,VIC,"{'LYGS6': 'Gas', 'VPGS1': 'Gas', 'VPGS6': 'Gas', 'VPGS4': 'Gas', 'VPGS3': 'Gas', 'LYGS3': 'Gas', 'LYGS4': 'Gas', 'VPGS5': 'Gas', 'VPGS2': 'Gas', 'LYGS1': 'Gas', 'LYGS2': 'Gas', 'LYGS5': 'Gas', 'VPGS': 'Gas'}",-38.252601,146.588906
TITREE,Veolia Ti Tree,NEM,QLD,{'TITREE': 'Bioenergy'},-27.695551,152.650313
VICMILL,Victoria Mill,NEM,QLD,{'VICMILL1': 'Bioenergy'},-18.650208,146.200866
VBB,Victorian Big Battery,NEM,VIC,"{'VBBG1': 'Battery', 'VBBL1': 'Battery', 'VBB1': 'Battery'}",-38.03828,144.291003
WAGGNSF,Wagga North,NEM,NSW,{'WAGGNSF1': 'Solar'},-35.069081,147.438227
WLWLSF,Walla Walla,NEM,NSW,"{'WLWLSF2': 'Solar', 'WLWLSF1': 'Solar'}",-35.746481,146.961838
WW,Wallerawang,NEM,NSW,"{'WW7': 'Coal', 'WW8': 'Coal'}",-33.403889,150.084444
WALGRV,Wallgrove,NEM,NSW,"{'WALGRV1': 'Battery', 'WALGRVL1': 'Battery', 'WALGRVG1': 'Battery'}",-33.817476,150.827276
PRDSO_WALPOLE,Walpole,NEM,WE,{'PRDSO_WALPOLE_HG1': 'Hydro'},-34.988023,116.722925
0WAMBOWF,Wambo,NEM,QLD,"{'0WAMBOWF2': 'Wind', 'WAMBOWF1': 'Wind'}",-26.603045,151.246876
WANDSF,Wandoan,NEM,QLD,"{'0WANDSF2': 'Solar', 'WANDSF1': 'Solar'}",-26.263564,149.772243
WANDBG,Wandoan South,NEM,QLD,"{'WANDB1': 'Battery', 'WANDBG1': 'Battery', 'WANDBL1': 'Battery'}",-26.263986,149.772871
WNSF,Wangaratta,NEM,VIC,{'WNSF1': 'Solar'},-36.326757,146.359901
WTAHB,Waratah Super Battery,NEM,NSW,"{'WTAHB1L1': 'Battery', 'WTAHB1': 'Battery', 'WTAHB1G1': 'Battery'}",-33.209781,151.544911
WG,Warragamba,NEM,NSW,{'WG01': 'Hydro'},-33.883064,150.595436
WARWSF,Warwick,NEM,QLD,"{'WARWSF2': 'Solar', 'WARWSF1': 'Solar'}",-28.18321,152.066792
WATERLWF,Waterloo,NEM,SA,{'WATERLWF': 'Wind'},-33.991095,138.915723
WPWF,Wattle Point,NEM,SA,{'WPWF': 'Wind'},-35.11541,137.718672
WAUBRAWF,Waubra,NEM,VIC,{'WAUBRAWF': 'Wind'},-37.357979,143.5926
WELLSF1,Wellington,NEM,NSW,{'WELLSF1': 'Solar'},-32.5207,148.9675
WELNSF,Wellington North,NEM,NSW,{'WELNSF1': 'Solar'},-32.514353,148.957634
WEMENSF1,Wemen,NEM,VIC,{'WEMENSF1': 'Solar'},-34.80259,142.543348
WESTILLA,West Illawarra Leagues Club,NEM,NSW,{'WESTILL1': 'distillate'},-34.451645,150.843037
WKIEWA,West Kiewa,NEM,VIC,"{'WKIEWA2': 'Hydro', 'WKIEWA1': 'Hydro'}",-36.759674,147.186082
AGLNOW1,West Nowra,NEM,NSW,{'AGLNOW1': 'Bioenergy'},-34.882318,150.551075
WSTWYSF,West Wyalong,NEM,NSW,{'WSTWYSF1': 'Solar'},-33.795635,147.314545
WDBESS,Western Downs,NEM,QLD,"{'WDBESS1': 'Battery', 'WDBESSL1': 'Battery', 'WDBESSG1': 'Battery'}",-26.952008,150.694188
WDGPH,Western Downs,NEM,QLD,{'WDGPH1': 'Solar'},-26.927922,150.601542
WDBESS2,Western Downs 2,NEM,QLD,"{'WDBESSL2': 'Battery', 'WDBESS2': 'Battery', 'WDBESSG2': 'Battery'}",-26.951989,150.694141
WESTCBT,Western Suburbs League Club,NEM,NSW,{'WESTCBT1': 'distillate'},-34.051073,150.832757
WRSF1,White Rock Solar Farm,NEM,NSW,{'WRSF1': 'Solar'},-29.763292,151.552402
WRWF1,White Rock Wind Farm,NEM,NSW,{'WRWF1': 'Wind'},-29.7718,151.5755
WHITSF,Whitsunday,NEM,QLD,{'WHITSF1': 'Solar'},-20.537259,147.80475
WHIT1,Whitwood Road,NEM,QLD,{'WHIT1': 'Bioenergy'},-27.620454,152.824409
WILGAPK,Wilga Park,NEM,NSW,{'WILGAPK': 'Gas'},-30.314444,149.652768
WILGAPKB,Wilga Park B,NEM,NSW,{'WILGB01': 'Gas'},-30.314444,149.652768
WILLHOV,William Hovel,NEM,VIC,{'WILLHOV1': 'Hydro'},-36.925216,146.389418
0WDBESS,Williamsdale,NEM,NSW,"{'0WDBESS1': 'Battery', '0WDBESSL1': 'Battery', '0WDBESSG1': 'Battery'}",-35.57458,149.131993
WGWF,Willogoleche,NEM,SA,{'WGWF1': 'Wind'},-33.393569,138.84821
NINEWIL,Willoughby,NEM,NSW,{'NINEWIL1': 'distillate'},-33.810858,151.196599
WINDHILL,Windy Hill,NEM,QLD,{'WHILL1': 'Wind'},-17.590399,145.52968
WINGF1,Wingfield,NEM,SA,{'WINGF1_1': 'Bioenergy'},-34.835138,138.548949
WINGF2,Wingfield 2,NEM,SA,{'WINGF2_1': 'Bioenergy'},-34.835138,138.548949
WINTSF1,Winton,NEM,VIC,{'WINTSF1': 'Solar'},-36.499695,146.114554
WIVENHOE,Wivenhoe,NEM,QLD,"{'PUMP1': 'Hydro', 'W/HOE#1': 'Hydro', 'PUMP2': 'Hydro', 'W/HOE#2': 'Hydro'}",-27.372224,152.632362
WIVENSH,Wivenhoe,NEM,QLD,{'WIVENSH': 'Hydro'},-27.394592,152.609237
WOLARSF,Wollar,NEM,NSW,{'WOLARSF1': 'Solar'},-32.407631,149.940737
WOLLERT,Wollert,NEM,VIC,{'WOLLERT1': 'Bioenergy'},-37.591792,145.043033
WONWP,Wonthaggi,NEM,VIC,{'WONWP': 'Wind'},-38.60513,145.546292
WDLNGN,Woodlawn,NEM,NSW,{'WDLNGN01': 'Bioenergy'},-35.05928,149.5749
WOODLWN,Woodlawn,NEM,NSW,{'WOODLWN1': 'Wind'},-35.081675,149.570511
WOOLNTH1,Woolnorth,NEM,TAS,{'WOOLNTH1': 'Wind'},-40.736375,144.694821
WOOLGSF,Woolooga,NEM,QLD,"{'0WOOLGB1': 'Battery', '0WOOLGBG1': 'Battery', '0WOOLGBL1': 'Battery', 'WOOLGSF1': 'Solar'}",-26.084522,152.441226
0WOORBESS,Wooreen,NEM,VIC,"{'0WESSB1': 'Battery', '0WESSL1': 'Battery', '0WESSG1': 'Battery'}",-38.27376,146.427729
WOYWOY,Woy Woy,NEM,NSW,{'WOYWOY1': 'Bioenergy'},-33.506914,151.291606
WUNUSF,Wunghnu,NEM,VIC,{'WUNUSF1': 'Solar'},-36.164387,145.403731
WYASF,Wyalong,NEM,NSW,{'WYASF1': 'Solar'},-33.804939,147.295155
WYANGALA,Wyangala A,NEM,NSW,{'WYANGALA': 'Hydro'},-33.980371,148.947377
WYANGALB,Wyangala B,NEM,NSW,{'WYANGALB': 'Hydro'},-33.980371,148.947377
WYNDW,Wyndham,NEM,VIC,{'WYNDW': 'Bioenergy'},-37.935372,144.5898
YALLOURN,Yallourn W,NEM,VIC,"{'YWPS1': 'Coal', 'YWPS4': 'Coal', 'YWPS3': 'Coal', 'YWPS2': 'Coal'}",-38.177596,146.347508
YSWF,Yaloak South,NEM,VIC,{'YSWF1': 'Wind'},-37.716474,144.241947
YAMBUK,Yambuk,NEM,VIC,{'YAMBUKWF': 'Wind'},-38.305278,142.018439
YARANSF,Yarranlea,NEM,QLD,{'YARANSF1': 'Solar'},-27.708939,151.532696
YWNGAHYD,Yarrawonga,NEM,VIC,{'YWNGAHYD': 'Hydro'},-36.009466,145.999568
YARWUN,Yarwun,NEM,QLD,{'YARWUN_1': 'Gas'},-23.8302,151.149692
YATSF1,Yatpool,NEM,VIC,{'YATSF1': 'Solar'},-34.38073,142.20534
YAWWF,Yawong,NEM,VIC,{'YAWWF1': 'Wind'},-36.471022,143.361722
YENDONWF,Yendon,NEM,VIC,{'YENDWF1': 'Wind'},-37.630952,144.022463
