timestamp,price,demand
2025-10-01T09:00:00+10:00,-14.676,17413.59
2025-10-01T09:05:00+10:00,-8.738,17398.35
2025-10-01T09:10:00+10:00,-4.252,17378.03
2025-10-01T09:15:00+10:00,-16.814,17017.3
2025-10-01T09:20:00+10:00,-13.798,17021.57
2025-10-01T09:25:00+10:00,-9.654,16946.41
2025-10-01T09:30:00+10:00,-8.674,16906.47
2025-10-01T09:35:00+10:00,-8.542,16865.54
2025-10-01T09:40:00+10:00,-12.81,16757.67
2025-10-01T09:45:00+10:00,-8.664,17009.31
2025-10-01T09:50:00+10:00,-8.452,16872.88
2025-10-01T09:55:00+10:00,-9.63,16555.72
2025-10-01T10:00:00+10:00,-9.612,16500.25
2025-10-01T10:05:00+10:00,-12.37,16477.45
2025-10-01T10:10:00+10:00,-8.526,16569.61
2025-10-01T10:15:00+10:00,-9.648,16295.06
2025-10-01T10:20:00+10:00,-10.676,16273.67
2025-10-01T10:25:00+10:00,-11.646,16131.42
2025-10-01T10:30:00+10:00,-10.298,16261.75
2025-10-01T10:35:00+10:00,-9.39,16361.2
2025-10-01T10:40:00+10:00,-11.614,16238.98
2025-10-01T10:45:00+10:00,-13.246,16125.39
2025-10-01T10:50:00+10:00,-6.12,16082.85
2025-10-01T10:55:00+10:00,-9.382,15920.63
2025-10-01T11:00:00+10:00,-13.86,15850.66
2025-10-01T11:05:00+10:00,-11.224,16000.34
2025-10-01T11:10:00+10:00,-10.206,15956.32
2025-10-01T11:15:00+10:00,-9.354,15860.65
2025-10-01T11:20:00+10:00,-10.258,15770.34
2025-10-01T11:25:00+10:00,-10.166,15834.16
2025-10-01T11:30:00+10:00,-15.562,15548.38
2025-10-01T11:35:00+10:00,-5.308,15585.75
2025-10-01T11:40:00+10:00,-9.574,15908.28
2025-10-01T11:45:00+10:00,-9.148,15937.38
2025-10-01T11:50:00+10:00,-11.104,15874.31
2025-10-01T11:55:00+10:00,-6.232,16017.49
2025-10-01T12:00:00+10:00,-4.896,16010.73
2025-10-01T12:05:00+10:00,-8.874,15881.43
2025-10-01T12:10:00+10:00,-4.86,15966.11
2025-10-01T12:15:00+10:00,-12.512,15815.21
2025-10-01T12:20:00+10:00,-9.142,15814.28
2025-10-01T12:25:00+10:00,-9.512,15536.15
2025-10-01T12:30:00+10:00,-10.394,15401.31
2025-10-01T12:35:00+10:00,-12.358,15122.44
2025-10-01T12:40:00+10:00,-11.522,15514.49
2025-10-01T12:45:00+10:00,-11.834,15403.75
2025-10-01T12:50:00+10:00,-5.798,15452.04
2025-10-01T12:55:00+10:00,-10.108,15444.79
2025-10-01T13:00:00+10:00,-11.522,15563.89
2025-10-01T13:05:00+10:00,-10.748,15624.87
2025-10-01T13:10:00+10:00,-4.886,15800.9
2025-10-01T13:15:00+10:00,-9.64,15926.01
2025-10-01T13:20:00+10:00,-3.602,16035.05
2025-10-01T13:25:00+10:00,-2.888,16136.11
2025-10-01T13:30:00+10:00,-6.264,16274.56
2025-10-01T13:35:00+10:00,-2.056,16585.56
2025-10-01T13:40:00+10:00,-2.43,16668.7
2025-10-01T13:45:00+10:00,-8.832,16445.13
2025-10-01T13:50:00+10:00,-7.748,16537.98
2025-10-01T13:55:00+10:00,-9.122,16540.14
2025-10-01T14:00:00+10:00,-11.302,16540.82
2025-10-01T14:05:00+10:00,3.026,16731.61
2025-10-01T14:10:00+10:00,-2.346,16637.56
2025-10-01T14:15:00+10:00,-7.37,16649.49
2025-10-01T14:20:00+10:00,-1.428,16638.88
2025-10-01T14:25:00+10:00,6.256,16930.65
2025-10-01T14:30:00+10:00,6.274,16931.8
2025-10-01T14:35:00+10:00,1.156,17335.57
2025-10-01T14:40:00+10:00,2.044,17463.08
2025-10-01T14:45:00+10:00,6.702,17721.9
